,time,temp,humid,CO2
5,2018-03-12T11:16:56.619Z,2745,2992,703
5,2018-03-12T11:17:14.150Z,2757,3000,773
5,2018-03-12T11:21:50.705Z,2895,2872,678
5,2018-03-12T11:35:18.307Z,2950,2737,629
5,2018-03-12T11:35:35.812Z,2950,2740,643
5,2018-03-12T11:49:23.890Z,2930,2680,540
5,2018-03-12T11:49:41.557Z,2930,2682,518
5,2018-03-12T12:03:10.846Z,2950,2710,624
5,2018-03-12T12:04:19.269Z,2960,2687,613
5,2018-03-12T12:04:36.772Z,2967,2667,602
5,2018-03-12T12:31:41.794Z,2960,2690,523
5,2018-03-12T12:31:59.286Z,2960,2700,657
5,2018-03-12T12:45:31.246Z,2940,2730,600
5,2018-03-12T12:45:48.788Z,2937,2730,541
5,2018-03-12T13:00:12.633Z,2910,2810,579
5,2018-03-12T13:01:21.613Z,2930,2840,532
5,2018-03-12T13:01:39.207Z,2940,2837,534
5,2018-03-12T13:15:48.264Z,2930,2915,634
5,2018-03-12T13:16:55.480Z,2940,2930,646
5,2018-03-12T13:17:12.993Z,2942,2927,647
5,2018-03-12T13:58:33.246Z,2850,3147,730
5,2018-03-12T13:58:50.771Z,2850,3150,772
5,2018-03-12T14:12:23.240Z,2840,3132,589
5,2018-03-12T14:12:40.758Z,2842,3190,730
5,2018-03-12T14:31:47.698Z,2847,3219,852
5,2018-03-12T14:32:05.347Z,2842,3209,864
5,2018-03-12T14:45:36.694Z,2805,3252,767
5,2018-03-12T14:45:54.210Z,2807,3257,767
5,2018-03-12T14:59:26.384Z,2792,3402,787
5,2018-03-12T14:59:43.948Z,2795,3407,819
5,2018-03-13T05:55:44.292Z,2487,3705,744
5,2018-03-13T05:56:01.833Z,2497,3672,754
5,2018-03-13T06:09:43.736Z,2760,3385,793
5,2018-03-13T06:10:01.290Z,2767,3377,770
5,2018-03-14T08:48:25.999Z,3342,2282,472
5,2018-03-14T08:48:43.687Z,3345,2305,508
5,2018-03-13T05:55:44.292Z,2487,3705,744
5,2018-03-13T05:56:01.833Z,2497,3672,754
5,2018-03-13T06:09:43.736Z,2760,3385,793
5,2018-03-13T06:10:01.290Z,2767,3377,770
5,2018-03-14T08:48:25.999Z,3342,2282,472
5,2018-03-14T08:48:43.687Z,3345,2305,508
