,time,temp,humid,CO2
8,2018-03-12T07:28:28.624Z,3000,2000,50
8,2018-03-12T07:28:43.807Z,3000,2000,50
8,2018-03-12T07:30:57.266Z,3000,2000,50
8,2018-03-12T07:32:28.250Z,2710,3145,582
8,2018-03-12T07:32:45.740Z,2710,3155,613
8,2018-03-12T12:01:28.375Z,2800,3222,932
8,2018-03-12T12:01:45.930Z,2807,3245,1127
8,2018-03-12T12:32:50.097Z,2950,2572,572
8,2018-03-12T12:33:07.630Z,2950,2580,594
8,2018-03-12T12:46:37.771Z,2910,2747,600
8,2018-03-12T12:46:55.291Z,2910,2742,624
8,2018-03-12T13:27:45.948Z,2867,3085,546
8,2018-03-12T13:28:03.454Z,2860,3090,577
8,2018-03-12T13:41:46.261Z,2855,3165,571
8,2018-03-12T13:55:27.106Z,2845,3287,661
8,2018-03-12T14:09:56.560Z,2842,3364,855
8,2018-03-12T14:10:14.116Z,2847,3384,819
8,2018-03-12T14:50:52.336Z,2800,3527,862
8,2018-03-12T14:51:09.892Z,2797,3547,862
8,2018-03-12T15:04:39.437Z,2810,3652,880
8,2018-03-12T15:05:48.015Z,2810,3670,895
8,2018-03-12T15:06:05.681Z,2807,3670,895
8,2018-03-13T06:02:36.273Z,2690,3842,805
8,2018-03-13T06:02:53.805Z,2690,3772,771
8,2018-03-13T06:16:24.252Z,2830,3522,813
8,2018-03-13T06:16:41.786Z,2830,3512,886
8,2018-03-14T08:40:00.247Z,3152,2115,462
8,2018-03-14T08:40:17.898Z,3160,2110,465
8,2018-03-14T08:54:59.693Z,3280,2222,455
8,2018-03-14T09:08:23.054Z,3290,1907,484
8,2018-03-14T09:08:40.708Z,3290,1984,473
8,2018-03-14T09:22:15.369Z,3282,1930,451
8,2018-03-14T09:22:33.027Z,3280,1882,494
8,2018-03-14T09:36:07.675Z,3300,1895,489
8,2018-03-14T09:36:25.354Z,3297,1867,496
8,2018-03-14T09:49:56.017Z,3300,2040,465
8,2018-03-14T09:50:13.604Z,3290,2002,470
8,2018-03-14T10:03:47.398Z,3287,1775,466
8,2018-03-14T10:04:05.095Z,3282,1792,484
8,2018-03-14T10:17:36.526Z,3290,1727,483
8,2018-03-14T10:17:54.107Z,3287,1729,503
8,2018-03-14T10:31:28.467Z,3280,1787,486
8,2018-03-14T10:31:46.065Z,3275,1750,495
8,2018-03-14T10:45:17.061Z,3270,1715,488
8,2018-03-14T08:40:00.247Z,3152,2115,462
8,2018-03-14T08:40:17.898Z,3160,2110,465
8,2018-03-14T08:54:59.693Z,3280,2222,455
8,2018-03-14T09:08:23.054Z,3290,1907,484
8,2018-03-14T09:08:40.708Z,3290,1984,473
8,2018-03-14T09:22:15.369Z,3282,1930,451
8,2018-03-14T09:22:33.027Z,3280,1882,494
8,2018-03-14T09:36:07.675Z,3300,1895,489
8,2018-03-14T09:36:25.354Z,3297,1867,496
8,2018-03-14T09:49:56.017Z,3300,2040,465
8,2018-03-14T09:50:13.604Z,3290,2002,470
8,2018-03-14T10:03:47.398Z,3287,1775,466
8,2018-03-14T10:04:05.095Z,3282,1792,484
8,2018-03-14T10:17:36.526Z,3290,1727,483
8,2018-03-14T10:17:54.107Z,3287,1729,503
8,2018-03-14T10:31:28.467Z,3280,1787,486
8,2018-03-14T10:31:46.065Z,3275,1750,495
8,2018-03-14T10:45:17.061Z,3270,1715,488
8,2018-03-14T10:46:27.609Z,3270,1737,460
8,2018-03-14T10:46:45.191Z,3270,1722,487
8,2018-03-14T11:00:04.786Z,3280,1677,500
8,2018-03-14T11:00:22.431Z,3275,1717,532
8,2018-03-14T11:13:56.451Z,3240,1884,443
8,2018-03-14T11:14:14.165Z,3230,1962,495
8,2018-03-14T11:27:49.893Z,3180,2397,490
8,2018-03-14T11:28:07.531Z,3172,2425,482
8,2018-03-14T11:41:40.335Z,3130,2575,463
8,2018-03-14T11:41:57.907Z,3120,2572,482
8,2018-03-14T11:55:33.208Z,3090,2637,498
8,2018-03-14T11:55:50.801Z,3084,2657,501
8,2018-03-14T12:09:25.160Z,3060,2695,455
8,2018-03-14T12:09:42.833Z,3060,2712,469
8,2018-03-14T12:23:12.537Z,3040,2730,471
8,2018-03-14T12:23:30.229Z,3034,2740,488
8,2018-03-14T12:37:04.781Z,3012,2800,466
8,2018-03-14T12:37:22.445Z,3005,2812,499
8,2018-03-14T12:50:57.561Z,2987,2817,457
8,2018-03-14T12:51:15.245Z,2982,2832,485
8,2018-03-14T13:04:52.342Z,2962,2715,459
8,2018-03-14T13:05:10.004Z,2960,2742,492
8,2018-03-16T06:50:29.139Z,2960,2959,591
8,2018-03-16T06:50:46.853Z,2960,2840,534
8,2018-03-16T07:04:20.176Z,2875,2900,431
8,2018-03-16T07:04:37.890Z,2870,2862,458
8,2018-03-16T07:18:12.607Z,2850,2527,461
8,2018-03-16T07:18:30.320Z,2850,2527,485
8,2018-03-16T07:32:04.740Z,2870,2682,459
8,2018-03-16T07:32:22.482Z,2867,2732,472
8,2018-03-16T07:45:58.068Z,2850,2667,458
8,2018-03-16T07:46:15.809Z,2850,2720,438
8,2018-03-16T07:59:52.134Z,2870,2755,416
8,2018-03-16T08:00:09.837Z,2870,2772,416
8,2018-03-16T08:13:45.620Z,2890,2730,447
8,2018-03-16T08:14:03.320Z,2890,2734,452
8,2018-03-16T08:27:34.986Z,2880,2680,472
8,2018-03-16T08:27:52.719Z,2875,2709,475
8,2018-03-16T08:41:25.548Z,2890,2727,450
8,2018-03-16T08:41:43.442Z,2890,2752,473
8,2018-03-16T08:55:17.517Z,2850,2812,472
8,2018-03-16T08:55:35.207Z,2850,2742,471
8,2018-03-16T09:09:08.088Z,2870,2597,471
8,2018-03-16T09:09:25.778Z,2870,2642,456
8,2018-03-16T09:23:01.027Z,2920,2525,455
8,2018-03-16T09:23:18.713Z,2920,2584,466
8,2018-03-16T09:36:51.425Z,2910,2602,464
8,2018-03-16T09:37:09.058Z,2900,2610,466
8,2018-03-16T09:50:42.166Z,2950,2410,442
8,2018-03-16T09:50:59.743Z,2952,2360,474
8,2018-03-16T10:04:30.522Z,2910,2647,447
8,2018-03-16T10:04:48.246Z,2910,2662,466
8,2018-03-16T10:32:05.373Z,2872,2695,468
8,2018-03-16T10:32:23.090Z,2870,2730,486
8,2018-03-16T10:45:57.179Z,2855,2737,451
8,2018-03-16T10:46:14.771Z,2852,2740,472
8,2018-03-16T10:59:50.196Z,2850,2687,456
8,2018-03-16T11:00:09.830Z,2845,2742,478
8,2018-03-16T11:13:45.671Z,2832,2775,489
8,2018-03-16T11:14:03.386Z,2830,2775,484
8,2018-03-16T11:27:34.804Z,2820,2717,490
8,2018-03-16T11:27:52.517Z,2820,2732,492
8,2018-03-16T11:41:28.967Z,2830,2855,459
8,2018-03-16T11:41:46.708Z,2827,2865,443
8,2018-03-16T11:55:20.371Z,2800,2980,458
8,2018-03-16T11:55:38.086Z,2792,2987,480
8,2018-03-16T12:09:10.109Z,2777,3145,465
8,2018-03-16T12:09:27.841Z,2780,3160,485
8,2018-03-16T12:23:01.253Z,2770,3242,445
8,2018-03-16T12:23:18.952Z,2770,3252,451
8,2018-03-16T12:36:56.924Z,2760,3247,471
8,2018-03-16T12:37:14.630Z,2760,3250,487
8,2018-03-16T12:50:51.113Z,2760,3272,439
8,2018-03-16T12:51:08.708Z,2760,3280,488
8,2018-03-16T13:04:45.079Z,2762,3280,422
8,2018-03-16T13:05:02.812Z,2760,3290,433
8,2018-03-16T13:18:35.744Z,2760,3297,459
8,2018-03-16T13:18:53.462Z,2757,3307,472
8,2018-03-16T13:32:27.213Z,2755,3307,437
8,2018-03-16T13:32:44.813Z,2750,3320,448
8,2018-03-16T13:46:21.432Z,2750,3282,453
8,2018-03-16T13:46:39.140Z,2750,3290,465
8,2018-03-16T14:00:16.246Z,2750,3305,448
8,2018-03-16T14:00:33.849Z,2750,3320,437
8,2018-03-16T14:14:10.144Z,2742,3334,427
8,2018-03-16T14:14:27.838Z,2740,3342,485
8,2018-03-16T14:28:01.829Z,2740,3357,463
8,2018-03-16T14:28:19.514Z,2732,3367,466
8,2018-03-16T14:55:46.860Z,2727,3405,461
8,2018-03-16T14:56:04.543Z,2722,3409,453
8,2018-03-16T15:09:38.905Z,2720,3412,442
8,2018-03-16T15:09:56.608Z,2717,3422,452
8,2018-03-16T15:23:33.442Z,2720,3430,433
8,2018-03-16T15:23:51.034Z,2710,3430,445
8,2018-03-16T15:37:27.256Z,2720,3409,480
8,2018-03-16T15:37:44.860Z,2720,3417,479
8,2018-03-16T15:51:19.930Z,2720,3400,454
8,2018-03-16T15:51:37.627Z,2720,3407,477
8,2018-03-16T16:05:12.550Z,2720,3400,478
8,2018-03-16T16:05:30.265Z,2720,3407,469
8,2018-03-16T16:19:00.758Z,2720,3390,447
8,2018-03-16T16:19:18.469Z,2720,3400,468
8,2018-03-16T16:32:52.591Z,2710,3397,450
8,2018-03-16T16:33:10.313Z,2710,3405,469
8,2018-03-16T16:46:47.391Z,2710,3422,480
8,2018-03-16T16:47:05.099Z,2702,3427,438
8,2018-03-16T17:00:36.996Z,2700,3457,452
8,2018-03-16T17:00:54.717Z,2700,3464,478
8,2018-03-16T17:14:29.591Z,2690,3480,443
8,2018-03-16T17:14:47.186Z,2690,3492,501
8,2018-03-16T17:28:19.916Z,2680,3502,471
8,2018-03-16T17:28:37.609Z,2680,3514,467
8,2018-03-16T17:42:13.816Z,2670,3534,487
8,2018-03-16T17:42:31.451Z,2670,3542,505
8,2018-03-16T17:56:08.161Z,2660,3600,502
8,2018-03-16T17:56:25.898Z,2660,3607,472
8,2018-03-16T18:09:58.626Z,2650,3627,478
8,2018-03-16T18:10:16.195Z,2647,3634,452
8,2018-03-16T18:24:09.760Z,2632,3680,501
8,2018-03-16T18:37:44.545Z,2632,3677,467
8,2018-03-16T18:38:02.177Z,2630,3697,482
8,2018-03-16T18:51:35.684Z,2625,3682,486
8,2018-03-16T18:51:53.377Z,2620,3695,483
8,2018-03-16T19:05:27.907Z,2620,3707,457
8,2018-03-16T19:05:45.536Z,2617,3717,499
8,2018-03-16T19:19:20.301Z,2610,3727,478
8,2018-03-16T19:19:38.024Z,2607,3734,503
8,2018-03-16T19:33:12.413Z,2602,3737,448
8,2018-03-16T19:33:30.098Z,2600,3747,489
8,2018-03-16T19:47:07.517Z,2590,3755,484
8,2018-03-16T19:47:25.247Z,2590,3767,490
8,2018-03-16T20:00:59.938Z,2587,3764,486
8,2018-03-16T20:01:17.611Z,2582,3770,479
8,2018-03-16T20:14:50.373Z,2580,3787,497
8,2018-03-16T20:15:08.095Z,2575,3792,485
8,2018-03-16T20:28:43.289Z,2570,3820,522
8,2018-03-16T20:29:01.003Z,2570,3827,486
8,2018-03-16T20:42:35.824Z,2562,3857,483
8,2018-03-16T20:42:53.529Z,2560,3850,492
8,2018-03-16T20:56:27.453Z,2552,3857,507
8,2018-03-16T20:56:45.189Z,2550,3880,513
8,2018-03-16T21:10:21.214Z,2542,3890,478
8,2018-03-16T21:10:41.687Z,2540,3900,529
8,2018-03-16T21:24:14.722Z,2540,3905,480
8,2018-03-16T21:24:32.409Z,2530,3909,474
8,2018-03-16T21:38:06.318Z,2520,3932,504
8,2018-03-16T21:38:24.087Z,2520,3945,493
8,2018-03-16T21:52:01.096Z,2510,3967,495
8,2018-03-16T21:52:18.805Z,2510,3972,518
8,2018-03-16T22:05:53.399Z,2502,3980,507
8,2018-03-16T22:06:11.140Z,2500,3987,498
8,2018-03-16T22:19:44.260Z,2490,4000,488
8,2018-03-16T22:20:01.992Z,2490,4007,508
