,time,temp,humid,CO2
7,2018-03-12T08:00:14.254Z,3000,2000,50
7,2018-03-12T08:00:29.648Z,3000,2000,50
7,2018-03-12T08:31:30.910Z,2690,3137,503
7,2018-03-12T08:32:39.092Z,2710,3010,515
7,2018-03-12T08:32:56.656Z,2717,2992,506
7,2018-03-12T08:49:23.484Z,2762,2830,619
7,2018-03-12T08:52:14.514Z,2790,2830,615
7,2018-03-12T08:52:32.388Z,2790,2830,623
7,2018-03-12T09:08:50.060Z,2780,2950,645
7,2018-03-12T09:09:58.707Z,2790,2942,537
7,2018-03-12T09:13:10.291Z,2817,2870,614
7,2018-03-12T09:13:27.844Z,2812,2860,582
7,2018-03-12T09:28:10.382Z,2810,2837,626
7,2018-03-12T09:29:19.300Z,2790,2862,621
7,2018-03-12T09:41:54.243Z,2850,2715,631
7,2018-03-12T09:42:11.805Z,2850,2722,629
7,2018-03-12T09:57:28.088Z,2820,2727,535
7,2018-03-12T09:59:27.879Z,2840,2682,563
7,2018-03-12T10:00:38.378Z,2860,2650,557
7,2018-03-12T10:03:28.805Z,2860,2650,593
7,2018-03-12T10:03:46.573Z,2860,2650,579
7,2018-03-12T10:15:30.053Z,2732,3045,807
7,2018-03-12T10:15:47.642Z,2747,2995,805
7,2018-03-12T10:18:22.439Z,2827,2887,661
7,2018-03-12T10:18:40.023Z,2815,2897,662
7,2018-03-12T10:35:44.276Z,2815,2945,682
7,2018-03-12T10:36:01.833Z,2817,2945,687
7,2018-03-12T10:50:41.314Z,2875,2702,644
7,2018-03-12T10:51:49.868Z,2870,2702,633
7,2018-03-12T10:53:49.534Z,2880,2690,692
7,2018-03-12T10:54:58.156Z,2890,2684,661
7,2018-03-12T10:56:57.952Z,2905,2662,726
7,2018-03-12T10:58:57.440Z,2910,2615,717
7,2018-03-12T10:59:15.094Z,2912,2615,696
7,2018-03-12T11:52:54.387Z,2680,3130,544
7,2018-03-12T11:53:11.899Z,2687,3195,619
7,2018-03-12T12:10:25.766Z,2890,2620,547
7,2018-03-12T12:11:42.873Z,2902,2642,642
7,2018-03-12T12:41:48.027Z,2822,2767,504
7,2018-03-12T12:42:05.596Z,2820,2784,514
7,2018-03-12T12:55:57.256Z,2825,2835,480
7,2018-03-12T12:56:14.798Z,2810,2857,483
7,2018-03-12T13:11:09.243Z,2780,3262,588
7,2018-03-12T13:13:59.982Z,2770,3152,632
7,2018-03-12T13:29:16.252Z,2762,3175,500
7,2018-03-12T13:29:33.834Z,2752,3202,555
7,2018-03-12T14:08:17.009Z,2837,3315,670
7,2018-03-12T14:08:34.511Z,2840,3327,699
7,2018-03-12T14:22:23.028Z,2842,3442,892
7,2018-03-12T14:26:55.817Z,2785,3472,849
7,2018-03-12T14:30:40.895Z,2812,3409,851
7,2018-03-12T14:45:56.469Z,2780,3475,644
7,2018-03-12T14:46:14.089Z,2762,3482,659
7,2018-03-12T15:00:15.640Z,2757,3757,892
7,2018-03-12T15:00:33.210Z,2750,3765,798
7,2018-03-12T18:25:25.738Z,2695,4242,599
7,2018-03-12T18:25:43.330Z,2707,4232,595
7,2018-03-12T18:42:18.579Z,2820,4002,666
7,2018-03-12T18:42:36.174Z,2825,3995,658
7,2018-03-12T18:57:21.559Z,2837,3940,632
7,2018-03-12T18:59:21.212Z,2862,3895,665
7,2018-03-12T18:59:38.934Z,2870,3897,644
7,2018-03-13T05:57:02.389Z,2707,3617,719
7,2018-03-13T05:57:20.040Z,2710,3609,718
7,2018-03-13T06:12:06.520Z,2775,3445,787
7,2018-03-13T06:14:57.467Z,2750,3562,805
7,2018-03-13T06:16:05.891Z,2760,3557,851
7,2018-03-13T06:16:23.465Z,2757,3545,856
7,2018-03-13T05:57:02.389Z,2707,3617,719
7,2018-03-13T05:57:20.040Z,2710,3609,718
7,2018-03-13T06:12:06.520Z,2775,3445,787
7,2018-03-13T06:14:57.467Z,2750,3562,805
7,2018-03-13T06:16:05.891Z,2760,3557,851
7,2018-03-13T06:16:23.465Z,2757,3545,856
